in,uit,rich,entry,exit,pnl,result,type,variant,versie
2025-09-19 13:00:00+00:00,2025-09-19 15:00:00+00:00,1,3696.1,3707.79,192.15,TP1,A_EMACROSS,V16-Balanced,v16
2025-09-19 13:00:00+00:00,2025-09-19 18:00:00+00:00,1,3696.1,3717.91,7173.64,TP2,A_EMACROSS,V16-Balanced,v16
2025-09-19 13:00:00+00:00,2025-09-22 05:00:00+00:00,1,3696.1,3731.16,15372.08,TP3,A_EMACROSS,V16-Balanced,v16
2025-09-25 08:00:00+00:00,2025-09-25 11:00:00+00:00,1,3786.7,3778.62,-746.87,SL,E_BOS,V16-Balanced,v16
2025-09-25 11:00:00+00:00,2025-09-25 12:00:00+00:00,1,3784.0,3775.92,-585.18,SL,F_MSS,V16-Balanced,v16
2025-09-29 11:00:00+00:00,2025-09-29 12:00:00+00:00,1,3858.2,3849.9,-743.14,SL,E_BOS,V16-Balanced,v16
2025-09-29 13:00:00+00:00,2025-09-29 20:00:00+00:00,1,3850.7,3863.21,166.74,TP1,C_MOMENTUM,V16-Balanced,v16
2025-09-29 13:00:00+00:00,2025-09-30 01:00:00+00:00,1,3850.7,3874.06,6224.89,TP2,C_MOMENTUM,V16-Balanced,v16
2025-09-29 13:00:00+00:00,2025-09-30 03:00:00+00:00,1,3850.7,3888.24,13339.06,TP3,C_MOMENTUM,V16-Balanced,v16
2025-09-30 07:00:00+00:00,2025-09-30 08:00:00+00:00,1,3872.2,3866.17,-625.67,SL,D_PULLBACK,V16-Balanced,v16
2025-09-30 14:00:00+00:00,2025-09-30 15:00:00+00:00,1,3881.7,3871.87,-624.29,SL,F_MSS,V16-Balanced,v16
2025-10-01 07:00:00+00:00,2025-10-01 08:00:00+00:00,1,3907.2,3921.22,356.76,TP1,B_MACDCROSS,V16-Balanced,v16
2025-10-01 07:00:00+00:00,2025-10-01 11:00:00+00:00,1,3907.2,3910.94,554.96,SL,B_MACDCROSS,V16-Balanced,v16
2025-10-01 13:00:00+00:00,2025-10-01 14:00:00+00:00,1,3899.8,3890.35,-624.92,SL,D_PULLBACK,V16-Balanced,v16
2025-10-01 15:00:00+00:00,2025-10-01 18:00:00+00:00,1,3895.1,3885.65,-623.55,SL,D_PULLBACK,V16-Balanced,v16
2025-10-02 13:00:00+00:00,2025-10-02 14:00:00+00:00,1,3899.7,3889.68,-622.18,SL,D_PULLBACK,V16-Balanced,v16
2025-10-03 15:00:00+00:00,2025-10-03 17:00:00+00:00,1,3914.4,3904.78,-395.06,SL,C_MOMENTUM,V16-Balanced,v16
2025-10-07 14:00:00+00:00,2025-10-07 15:00:00+00:00,1,4009.0,3999.11,-394.51,SL,B_MACDCROSS,V16-Balanced,v16
2025-10-09 12:00:00+00:00,2025-10-09 13:00:00+00:00,1,4072.9,4062.08,-315.16,SL,B_MACDCROSS,V16-Balanced,v16
2025-10-15 10:00:00+00:00,2025-10-15 12:00:00+00:00,1,4218.9,4204.51,-314.81,SL,C_MOMENTUM,V16-Balanced,v16
2025-10-15 13:00:00+00:00,2025-10-15 19:00:00+00:00,1,4207.6,4229.11,111.18,TP1,D_PULLBACK,V16-Balanced,v16
2025-10-15 13:00:00+00:00,2025-10-16 02:00:00+00:00,1,4207.6,4247.75,4150.85,TP2,D_PULLBACK,V16-Balanced,v16
2025-10-15 13:00:00+00:00,2025-10-16 13:00:00+00:00,1,4207.6,4272.13,8894.67,TP3,D_PULLBACK,V16-Balanced,v16
2025-10-17 07:00:00+00:00,2025-10-17 08:00:00+00:00,1,4354.5,4337.34,-646.63,SL,D_PULLBACK,V16-Balanced,v16
2025-10-20 12:00:00+00:00,2025-10-20 13:00:00+00:00,1,4340.9,4320.39,-1026.47,SL,A_EMACROSS,V16-Balanced,v16
2025-10-20 14:00:00+00:00,2025-10-20 18:00:00+00:00,1,4348.7,4376.38,331.41,TP1,E_BOS,V16-Balanced,v16
2025-10-20 14:00:00+00:00,2025-10-21 01:00:00+00:00,1,4348.7,4356.9,572.81,SL,E_BOS,V16-Balanced,v16
2025-11-12 12:00:00+00:00,2025-11-12 15:00:00+00:00,1,4136.4,4153.28,369.37,TP1,B_MACDCROSS,V16-Balanced,v16
2025-11-12 12:00:00+00:00,2025-11-12 15:00:00+00:00,1,4136.4,4167.9,689.5,TP2,B_MACDCROSS,V16-Balanced,v16
2025-11-12 12:00:00+00:00,2025-11-12 15:00:00+00:00,1,4136.4,4187.03,1477.5,TP3,B_MACDCROSS,V16-Balanced,v16
